GeneID	Symbol	EnsemblID	HGNCID	MIM Number	UniprotAC	UniprotID	type_of_gene
143	PARP4	ENSG00000102699	271	607519	Q9UKK3	PARP4	protein-coding
144	PARP1P1	ENSG00000227105	275				pseudo
241	ALOX5AP	ENSG00000132965	436	603700	P20292	AL5AP	protein-coding
479	ATP12A	ENSG00000075673	13816	182360	P54707	AT12A	protein-coding
496	ATP4B	ENSG00000186009	820	137217	P51164	ATP4B	protein-coding
540	ATP7B	ENSG00000123191	870	606882	P35670	ATP7B	protein-coding
675	BRCA2	ENSG00000139618	1101	600185	P51587	BRCA2	protein-coding
688	KLF5	ENSG00000102554	6349	602903	Q13887	KLF5	protein-coding
690	BTF3P11		1126	602543			pseudo
807	CALM2P3		1448				pseudo
1024	CDK8	ENSG00000132964	1779	603184	P49336	CDK8	protein-coding
1045	CDX2	ENSG00000165556	1806	600297	Q99626	CDX2	protein-coding
1102	RCBTB2	ENSG00000136161	1914	603524	O95199	RCBT2	protein-coding
1203	CLN5	ENSG00000102805	2076	608102	O75503	CLN5	protein-coding
1282	COL4A1	ENSG00000187498	2202	120130	P02462	CO4A1	protein-coding
1284	COL4A2	ENSG00000134871	2203	120090	P08572	CO4A2	protein-coding
1361	CPB2	ENSG00000080618	2300	603101	Q96IY4	CBPB2	protein-coding
1602	DACH1	ENSG00000276644	2663	603803	Q9UI36	DACH1	protein-coding
1638	DCT	ENSG00000080166	2709	191275	P40126	TYRP2	protein-coding
1661	DHX9P1		2751				pseudo
1880	GPR183	ENSG00000169508	3128	605741	P32249	GP183	protein-coding
1910	EDNRB	ENSG00000136160	3180	131244	P24530	EDNRB	protein-coding
1948	EFNB2	ENSG00000125266	3227	600527	P52799	EFNB2	protein-coding
1997	ELF1	ENSG00000120690	3316	189973	P32519	ELF1	protein-coding
2031	ENUR1						unknown
2073	ERCC5	ENSG00000134899	3437	133530	P28715	ERCC5	protein-coding
2098	ESD	ENSG00000139684	3465	133280	P10768	ESTD	protein-coding
2155	F7	ENSG00000057593	3544	613878	P08709	FA7	protein-coding
2159	F10	ENSG00000126218	3528	613872	P00742	FA10	protein-coding
2254	FGF9	ENSG00000102678	3687	600921	P31371	FGF9	protein-coding
2259	FGF14	ENSG00000102466	3671	601515	Q92915	FGF14	protein-coding
2262	GPC5	ENSG00000179399	4453	602446	P78333	GPC5	protein-coding
2284	FKBP1AP3		3716				pseudo
2308	FOXO1	ENSG00000150907	3819	136533	Q12778	FOXO1	protein-coding
2321	FLT1	ENSG00000102755	3763	165070	P17948	VGFR1	protein-coding
2322	FLT3	ENSG00000122025	3765	136351	P36888	FLT3	protein-coding
2341	FNTAP2		3784				pseudo
2453	FRA13A		3850				other
2454	FRA13B		3851				other
2455	FRA13C		3852				other
2456	FRA13D		3853				other
2500	FTH1P7		3994				pseudo
2611	GAPDHP69		4147				pseudo
2621	GAS6	ENSG00000183087	4168	600441	Q14393	GAS6	protein-coding
2700	GJA3	ENSG00000121743	4277	121015	Q9Y6H8	CXA3	protein-coding
2706	GJB2	ENSG00000165474	4284	121011	P29033	CXB2	protein-coding
2835	GPR12	ENSG00000132975	4466	600752	P47775	GPR12	protein-coding
2841	GPR18	ENSG00000125245	4472	602042	Q14330	GPR18	protein-coding
2862	MLNR	ENSG00000102539	4495	602885	O43193	MTLR	protein-coding
2871	GRK6P1		4547				pseudo
2963	GTF2F2	ENSG00000188342	4653	189969	P13984	T2FB	protein-coding
2971	GTF3A	ENSG00000122034	4662	600860	Q92664	TF3A	protein-coding
2974	GUCY1B2	ENSG00000123201	4686	603695			pseudo
3146	HMGB1	ENSG00000189403	4983	163905	P09429	HMGB1	protein-coding
3356	HTR2A	ENSG00000102468	5293	182135	P28223	5HT2A	protein-coding
3621	ING1	ENSG00000153487	6062	601566	Q9UK53	ING1	protein-coding
3651	PDX1	ENSG00000139515	6107	600733	P52945	PDX1	protein-coding
3839	KPNA3	ENSG00000102753	6396	601892	O00505	IMA4	protein-coding
3843	IPO5	ENSG00000065150	6402	602008	O00410	IPO5	protein-coding
3916	LAMP1	ENSG00000185896	6499	153330	P11279	LAMP1	protein-coding
3936	LCP1	ENSG00000136167	6528	153430	P13796	PLSL	protein-coding
