GeneID	Symbol	EnsemblID	HGNCID	MIM Number	UniprotAC	UniprotID	type_of_gene
9	NAT1	ENSG00000171428	7645	108345	P18440	ARY1	protein-coding
10	NAT2	ENSG00000156006	7646	612182	P11245	ARY2	protein-coding
11	NATP		15				pseudo
66	ACTBP6		139				pseudo
114	ADCY8	ENSG00000155897	239	103070	P40145	ADCY8	protein-coding
148	ADRA1A	ENSG00000120907	277	104221	P35348	ADA1A	protein-coding
155	ADRB3	ENSG00000188778	288	109691	P13945	ADRB3	protein-coding
284	ANGPT1	ENSG00000154188	484	601667	Q15389	ANGP1	protein-coding
285	ANGPT2	ENSG00000091879	485	601922	O15123	ANGP2	protein-coding
286	ANK1	ENSG00000029534	492	612641	P16157	ANK1	protein-coding
312	ANXA13	ENSG00000104537	536	602573	P27216	ANX13	protein-coding
427	ASAH1	ENSG00000104763	735	613468	Q13510	ASAH1	protein-coding
444	ASPH	ENSG00000198363	757	600582	Q12797	ASPH	protein-coding
526	ATP6V1B2	ENSG00000147416	854	606939	P21281	VATB2	protein-coding
528	ATP6V1C1	ENSG00000155097	856	603097	P21283	VATC1	protein-coding
575	ADGRB1	ENSG00000181790	943	602682	O14514	AGRB1	protein-coding
640	BLK	ENSG00000136573	1057	191305	P51451	BLK	protein-coding
649	BMP1	ENSG00000168487	1067	112264	P13497	BMP1	protein-coding
661	POLR3D	ENSG00000168495	1080	187280	P05423	RPC4	protein-coding
665	BNIP3L	ENSG00000104765	1085	605368	O60238	BNI3L	protein-coding
693	BTF3P1		1129				pseudo
700	BVR1		1153				other
734	OSGIN2	ENSG00000164823	1355	604598	Q9Y236	OSGI2	protein-coding
759	CA1	ENSG00000133742	1368	114800	P00915	CAH1	protein-coding
760	CA2	ENSG00000104267	1373	611492	P00918	CAH2	protein-coding
761	CA3	ENSG00000164879	1374	114750	P07451	CAH3	protein-coding
767	CA8	ENSG00000178538	1382	114815	P35219	CAH8	protein-coding
793	CALB1	ENSG00000104327	1434	114050	P05937	CALB1	protein-coding
862	RUNX1T1	ENSG00000079102	1535	133435	Q06455	MTG8	protein-coding
882	CCAL1						unknown
1015	CDH17	ENSG00000079112	1756	603017	Q12864	CAD17	protein-coding
1052	CEBPD	ENSG00000221869	1835	116898	P49716	CEBPD	protein-coding
1135	CHRNA2	ENSG00000120903	1956	118502	Q15822	ACHA2	protein-coding
1142	CHRNB3	ENSG00000147432	1963	118508	Q05901	ACHB3	protein-coding
1191	CLU	ENSG00000120885	2095	185430	P10909	CLUS	protein-coding
1345	COX6C	ENSG00000164919	2285	124090	P09669	COX6C	protein-coding
1392	CRH	ENSG00000147571	2355	122560	P06850	CRF	protein-coding
1508	CTSB	ENSG00000164733	2527	116810	P07858	CATB	protein-coding
1537	CYC1	ENSG00000179091	2579	123980	P08574	CY1	protein-coding
1581	CYP7A1	ENSG00000167910	2651	118455	P22680	CP7A1	protein-coding
1584	CYP11B1	ENSG00000160882	2591	610613	P15538	C11B1	protein-coding
1585	CYP11B2	ENSG00000179142	2592	124080	P19099	C11B2	protein-coding
1587	ADAM3A	ENSG00000197475	209				pseudo
1666	DECR1	ENSG00000104325	2753	222745	Q16698	DECR	protein-coding
1667	DEFA1	ENSG00000206047	2761	125220			protein-coding
1668	DEFA3	ENSG00000239839	2762	604522	P59666	DEF3	protein-coding
1669	DEFA4	ENSG00000164821	2763	601157	P12838	DEF4	protein-coding
1670	DEFA5	ENSG00000164816	2764	600472	Q01523	DEF5	protein-coding
1671	DEFA6	ENSG00000164822	2765	600471	Q01524	DEF6	protein-coding
1672	DEFB1	ENSG00000164825	2766	602056	P60022	DEFB1	protein-coding
1673	DEFB4A	ENSG00000171711	2767	602215			protein-coding
1807	DPYS	ENSG00000147647	3013	613326	Q14117	DPYS	protein-coding
1808	DPYSL2	ENSG00000092964	3014	602463	Q16555	DPYL2	protein-coding
1846	DUSP4	ENSG00000120875	3070	602747	Q13115	DUS4	protein-coding
1875	E2F5	ENSG00000133740	3119	600967	Q15329	E2F5	protein-coding
1936	EEF1D	ENSG00000104529	3211	130592	P29692	EF1D	protein-coding
1957	EGI						unknown
1960	EGR3	ENSG00000179388	3240	602419	Q06889	EGR3	protein-coding
1978	EIF4EBP1	ENSG00000187840	3288	602223	Q13541	4EBP1	protein-coding
2039	DMTN	ENSG00000158856	3382	125305	Q08495	DEMA	protein-coding
2053	EPHX2	ENSG00000120915	3402	132811	P34913	HYES	protein-coding
2055	CLN8	ENSG00000182372	2079	607837	Q9UBY8	CLN8	protein-coding
2131	EXT1	ENSG00000182197	3512	608177	Q16394	EXT1	protein-coding
2137	EXTL3	ENSG00000012232	3518	605744	O43909	EXTL3	protein-coding
2138	EYA1	ENSG00000104313	3519	601653	Q99502	EYA1	protein-coding
2156	F7R		3545				unknown
2167	FABP4	ENSG00000170323	3559	600434	P15090	FABP4	protein-coding
2171	FABP5	ENSG00000164687	3560	605168	Q01469	FABP5	protein-coding
2185	PTK2B	ENSG00000120899	9612	601212	Q14289	FAK2	protein-coding
2222	FDFT1	ENSG00000079459	3629	184420	P37268	FDFT	protein-coding
2233	FEB1						unknown
2260	FGFR1	ENSG00000077782	3688	136350	P11362	FGFR1	protein-coding
2267	FGL1	ENSG00000104760	3695	605776	Q08830	FGL1	protein-coding
2339	FNTA	ENSG00000168522	3782	134635	P49354	FNTA	protein-coding
2418	FRA8A		3929				other
2419	FRA8B		3930				other
2421	FRA8C		3931				other
2422	FRA8D		3932				other
2423	FRA8E		3933				other
2503	FTH1P11		3981				pseudo
2515	ADAM2	ENSG00000104755	198	601533	Q99965	ADAM2	protein-coding
2626	GATA4	ENSG00000136574	4173	600576	P43694	GATA4	protein-coding
2669	GEM	ENSG00000164949	4234	600164	P55040	GEM	protein-coding
2675	GFRA2	ENSG00000168546	4244	601956	O00451	GFRA2	protein-coding
2724	GLC1D						unknown
2738	GLI4	ENSG00000250571	4320	165280	P10075	GLI4	protein-coding
2765	GML	ENSG00000104499	4375	602370	Q99445	GML	protein-coding
2796	GNRH1	ENSG00000147437	4419	152760	P01148	GON1	protein-coding
2831	NPBWR1	ENSG00000288611	4522	600730	P48145	NPBW1	protein-coding
2843	GPR20	ENSG00000204882	4475	601908	Q99678	GPR20	protein-coding
2875	GPT	ENSG00000167701	4552	138200	P24298	ALAT1	protein-coding
2907	GRINA	ENSG00000178719	4589	138251	Q7Z429	LFG1	protein-coding
2936	GSR	ENSG00000104687	4623	138300	P00390	GSHR	protein-coding
2961	GTF2E2	ENSG00000197265	4651	189964	P29084	T2EB	protein-coding
2989	GULOP		4695				pseudo
3037	HAS2	ENSG00000170961	4819	601636	Q92819	HYAS2	protein-coding
3084	NRG1	ENSG00000157168	7997	142445	Q02297	NRG1	protein-coding
3174	HNF4G	ENSG00000164749	5026	605966	Q14541	HNF4G	protein-coding
3260	HPV18I1		5166				other
3297	HSF1	ENSG00000185122	5224	140580	Q00613	HSF1	protein-coding
3332	HSPD1P3		5264				pseudo
3341	HTC1						unknown
3513	JCHAINP1		5714				pseudo
3551	IKBKB	ENSG00000104365	5960	603258	O14920	IKKB	protein-coding
3574	IL7	ENSG00000104432	6023	146660	P13232	IL7	protein-coding
3612	IMPA1	ENSG00000133731	6050	602064	P29218	IMPA1	protein-coding
3620	IDO1	ENSG00000131203	6059	147435	P14902	I23O1	protein-coding
3646	EIF3E	ENSG00000104408	3277	602210	P60228	EIF3E	protein-coding
3786	KCNQ3	ENSG00000184156	6297	602232	O43525	KCNQ3	protein-coding
3788	KCNS2	ENSG00000156486	6301	602906	Q9ULS6	KCNS2	protein-coding
3896	KWE						unknown
4017	LOXL2	ENSG00000134013	6666	606663	Q9Y4K0	LOXL2	protein-coding
4023	LPL	ENSG00000175445	6677	609708	P06858	LIPL	protein-coding
4061	LY6E	ENSG00000160932	6727	601384	Q16553	LY6E	protein-coding
4062	LY6H	ENSG00000176956	6728	603625	O94772	LY6H	protein-coding
4067	LYN	ENSG00000254087	6735	165120	P07948	LYN	protein-coding
4147	MATN2	ENSG00000132561	6908	602108	O00339	MATN2	protein-coding
4173	MCM4	ENSG00000104738	6947	602638	P33991	MCM4	protein-coding
