GeneID	Symbol	EnsemblID	HGNCID	MIM Number	UniprotAC	UniprotID	type_of_gene
49	ACR	ENSG00000100312	126	102480	P10323	ACRO	protein-coding
50	ACO2	ENSG00000100412	118	100850	Q99798	ACON	protein-coding
135	ADORA2A	ENSG00000128271	263	102776	P29274	AA2AR	protein-coding
157	GRK3	ENSG00000100077	290	109636	P35626	ARBK2	protein-coding
158	ADSL	ENSG00000239900	291	608222	P30566	PUR8	protein-coding
162	AP1B1	ENSG00000100280	554	600157	Q10567	AP1B1	protein-coding
410	ARSA	ENSG00000100299	713	607574	P15289	ARSA	protein-coding
421	ARVCF	ENSG00000099889	728	602269	O00192	ARVC	protein-coding
436	ASLP1		747				pseudo
468	ATF4	ENSG00000128272	786	604064	P18848	ATF4	protein-coding
529	ATP6V1E1	ENSG00000131100	857	108746	P36543	VATE1	protein-coding
613	BCR	ENSG00000186716	1014	151410	P11274	BCR	protein-coding
616	BCRP4	ENSG00000215456	1017				pseudo
637	BID	ENSG00000015475	1050	601997	P55957	BID	protein-coding
638	BIK	ENSG00000100290	1051	603392	Q13323	BIK	protein-coding
706	TSPO	ENSG00000100300	1158	109610	P30536	TSPO	protein-coding
758	MPPED1	ENSG00000186732	1306	602112	O15442	MPPD1	protein-coding
1055	CECR		1838				other
1120	CHKB	ENSG00000100288	1938	612395	Q9Y259	CHKB	protein-coding
1312	COMT	ENSG00000093010	2228		P21964	COMT	protein-coding
1336	COX5BP7		2276				pseudo
1343	COX6B1P3		2283				pseudo
1375	CPT1B	ENSG00000205560	2329	601987	Q92523	CPT1B	protein-coding
1399	CRKL	ENSG00000099942	2363	602007	P46109	CRKL	protein-coding
1413	CRYBA4	ENSG00000196431	2396	123631	P53673	CRBA4	protein-coding
1414	CRYBB1	ENSG00000100122	2397	600929	P53674	CRBB1	protein-coding
1415	CRYBB2	ENSG00000244752	2398	123620	P43320	CRBB2	protein-coding
1416	CRYBB2P1	ENSG00000291087	2399				pseudo
1417	CRYBB3	ENSG00000100053	2400	123630	P26998	CRBB3	protein-coding
1439	CSF2RB	ENSG00000100368	2436	138981	P32927	IL3RB	protein-coding
1454	CSNK1E	ENSG00000213923	2453	600863			protein-coding
1564	CYP2D7		2624		A0A087X1C5	CP2D7	protein-coding
1565	CYP2D6	ENSG00000100197	2625	124030	P10635	CP2D6	protein-coding
1566	CYP2D7BP						pseudo
1568	CYP2D8P	ENSG00000226450	2628				pseudo
1652	DDT	ENSG00000099977	2732	602750	P30046	DOPD	protein-coding
1714	DGCR		2844				other
1727	CYB5R3	ENSG00000100243	2873	613213	P00387	NB5R3	protein-coding
1890	TYMP	ENSG00000025708	3148	131222	P19971	TYPH	protein-coding
2033	EP300	ENSG00000100393	3373	602700	Q09472	EP300	protein-coding
2130	EWSR1	ENSG00000182944	3508	133450	Q01844	EWS	protein-coding
2192	FBLN1	ENSG00000077942	3600	135820	P23142	FBLN1	protein-coding
2473	FRA22A		3883				other
2474	FRA22B		3884				other
2547	XRCC6	ENSG00000196419	4055	152690	P12956	XRCC6	protein-coding
2678	GGT1	ENSG00000100031	4250	612346	P19440	GGT1	protein-coding
2679	GGT3P	ENSG00000197421	4252				pseudo
2687	GGT5	ENSG00000099998	4260	137168	P36269	GGT5	protein-coding
2781	GNAZ	ENSG00000128266	4395	139160	P19086	GNAZ	protein-coding
2812	GP1BB	ENSG00000203618	4440	138720	P13224	GP1BB	protein-coding
2847	MCHR1	ENSG00000128285	4479	601751	Q99705	MCHR1	protein-coding
2928	GSC2	ENSG00000063515	4613	601845	O15499	GSC2	protein-coding
2952	GSTT1		4641	600436	P30711	GSTT1	protein-coding
2953	GSTT2	ENSG00000099984	4642	600437	P0CG29	GST2	protein-coding
3005	H1-0	ENSG00000189060	4714	142708	P07305	H10	protein-coding
3053	SERPIND1	ENSG00000099937	4838	142360	P05546	HEP2	protein-coding
3162	HMOX1	ENSG00000100292	5013	141250	P09601	HMOX1	protein-coding
3527	IGKV3OR22-2	ENSG00000254264	5833				pseudo
3529	IGKV2OR22-3		5812				pseudo
3530	IGKV1OR22-1		5772				pseudo
