GeneID	Symbol	EnsemblID	HGNCID	MIM Number	UniprotAC	UniprotID	type_of_gene
13	AADAC	ENSG00000114771	17	600338	P22760	AAAD	protein-coding
30	ACAA1	ENSG00000060971	82	604054	P09110	THIK	protein-coding
55	ACP3	ENSG00000014257	125	171790	P15309	PPAP	protein-coding
73	ACTG1P1		146				pseudo
86	ACTL6A	ENSG00000136518	24124	604958	O96019	ACL6A	protein-coding
93	ACVR2B	ENSG00000114739	174	602730	Q13705	AVR2B	protein-coding
95	ACY1	ENSG00000243989	177	104620	Q03154	ACY1	protein-coding
111	ADCY5	ENSG00000173175	236	600293	O95622	ADCY5	protein-coding
141	ADPRH	ENSG00000144843	269	603081	P54922	ADPRH	protein-coding
169	AF8T						unknown
185	AGTR1	ENSG00000144891	336	106165	P30556	AGTR1	protein-coding
197	AHSG	ENSG00000145192	349	138680	P02765	FETUA	protein-coding
211	ALAS1	ENSG00000023330	396	125290	P13196	HEM1	protein-coding
214	ALCAM	ENSG00000170017	400	601662	Q13740	CD166	protein-coding
236	AKR1B1P2		425				pseudo
275	AMT	ENSG00000145020	473	238310	P48728	GCST	protein-coding
327	APEH	ENSG00000164062	586	102645	P13798	ACPH	protein-coding
347	APOD	ENSG00000189058	612	107740	P05090	APOD	protein-coding
378	ARF4	ENSG00000168374	655	601177	P18085	ARF4	protein-coding
387	RHOA	ENSG00000067560	667	165390	P61586	RHOA	protein-coding
483	ATP1B3	ENSG00000069849	806	601867	P54709	AT1B3	protein-coding
491	ATP2B2	ENSG00000157087	815	108733	Q01814	AT2B2	protein-coding
523	ATP6V1A	ENSG00000114573	851	607027	P38606	VATA	protein-coding
545	ATR	ENSG00000175054	882	601215	Q13535	ATR	protein-coding
590	BCHE	ENSG00000114200	983	177400	P06276	CHLE	protein-coding
604	BCL6	ENSG00000113916	1001	109565	P41182	BCL6	protein-coding
622	BDH1	ENSG00000161267	1027	603063	Q02338	BDH	protein-coding
668	FOXL2	ENSG00000183770	1092	605597	P58012	FOXL2	protein-coding
686	BTD	ENSG00000169814	1122	609019	P43251	BTD	protein-coding
711	ERC2-IT1	ENSG00000281708	1229				ncRNA
776	CACNA1D	ENSG00000157388	1391	114206	Q01668	CAC1D	protein-coding
788	SLC25A20	ENSG00000178537	1421	613698	O43772	MCAT	protein-coding
820	CAMP	ENSG00000164047	1472	600474	P49913	CAMP	protein-coding
846	CASR	ENSG00000036828	1514	601199	P41180	CASR	protein-coding
859	CAV3	ENSG00000182533	1529	601253	P56539	CAV3	protein-coding
868	CBLB	ENSG00000114423	1542	604491	Q13191	CBLB	protein-coding
885	CCK	ENSG00000187094	1569	118440	P06307	CCKN	protein-coding
941	CD80	ENSG00000121594	1700	112203	P33681	CD80	protein-coding
942	CD86	ENSG00000114013	1705	601020	P42081	CD86	protein-coding
956	ENTPD3	ENSG00000168032	3365	603161	O75355	ENTP3	protein-coding
961	CD47	ENSG00000196776	1682	601028	Q08722	CD47	protein-coding
993	CDC25A	ENSG00000164045	1725	116947	P30304	MPIP1	protein-coding
1154	CISH	ENSG00000114737	1984	602441	Q9NSE2	CISH	protein-coding
1173	AP2M1	ENSG00000161203	564	601024	Q96CW1	AP2M1	protein-coding
1181	CLCN2	ENSG00000114859	2020	600570	P51788	CLCN2	protein-coding
1230	CCR1	ENSG00000163823	1602	601159	P32246	CCR1	protein-coding
1232	CCR3	ENSG00000183625	1604	601268	P51677	CCR3	protein-coding
1233	CCR4	ENSG00000183813	1605	604836	P51679	CCR4	protein-coding
1234	CCR5	ENSG00000160791	1606	601373	P51681	CCR5	protein-coding
1237	CCR8	ENSG00000179934	1609	601834	P51685	CCR8	protein-coding
1238	ACKR2	ENSG00000144648	1565	602648	O00590	ACKR2	protein-coding
1294	COL7A1	ENSG00000114270	2214	120120	Q02388	CO7A1	protein-coding
1295	COL8A1	ENSG00000144810	2215	120251	P27658	CO8A1	protein-coding
1356	CP	ENSG00000047457	2295	117700	P00450	CERU	protein-coding
1359	CPA3	ENSG00000163751	2298	114851	P15088	CBPA3	protein-coding
1360	CPB1	ENSG00000153002	2299	114852	P15086	CBPB1	protein-coding
1370	CPN2	ENSG00000178772	2313	603104	P22792	CPN2	protein-coding
1371	CPOX	ENSG00000080819	2321	612732	P36551	HEM6	protein-coding
1427	CRYGS	ENSG00000213139	2417	123730	P22914	CRYGS	protein-coding
1467	CSRP2P1		2471				pseudo
1475	CSTA	ENSG00000121552	2481	184600	P01040	CYTA	protein-coding
1499	CTNNB1	ENSG00000168036	2514	116806	P35222	CTNB1	protein-coding
1524	CX3CR1	ENSG00000168329	2558	601470	P49238	CX3C1	protein-coding
1582	CYP8B1	ENSG00000180432	2653	602172	Q9UNU6	CP8B1	protein-coding
1605	DAG1	ENSG00000173402	2666	128239	Q14118	DAG1	protein-coding
1608	DGKG	ENSG00000058866	2853	601854	P49619	DGKG	protein-coding
1618	DAZL	ENSG00000092345	2685	601486	Q92904	DAZL	protein-coding
1739	DLG1	ENSG00000075711	2900	601014	Q12959	DLG1	protein-coding
1776	DNASE1L3	ENSG00000163687	2959	602244	Q13609	DNSL3	protein-coding
