GeneID	Symbol	EnsemblID	HGNCID	MIM Number	UniprotAC	UniprotID	type_of_gene
104	ADARB1	ENSG00000197381	226	601218	P78563	RED1	protein-coding
326	AIRE	ENSG00000160224	360	607358	O43918	AIRE	protein-coding
351	APP	ENSG00000142192	620	104760	P05067	A4	protein-coding
442	ASNSP2		755				pseudo
522	ATP5PF	ENSG00000154723	847	603152	P18859	ATP5J	protein-coding
539	ATP5PO	ENSG00000241837	850	600828	P48047	ATPO	protein-coding
571	BACH1	ENSG00000156273	935	602751	O14867	BACH1	protein-coding
574	BAGE		942	605167	Q13072	BAGE1	protein-coding
754	PTTG1IP	ENSG00000183255	13524	603784	P53801	PTTG	protein-coding
755	CFAP410	ENSG00000160226	1260	603191	O43822	CF410	protein-coding
757	TMEM50B	ENSG00000142188	1280	617894	P56557	TM50B	protein-coding
861	RUNX1	ENSG00000159216	10471	151385	Q01196	RUNX1	protein-coding
873	CBR1	ENSG00000159228	1548	114830	P16152	CBR1	protein-coding
874	CBR3	ENSG00000159231	1549	603608	O75828	CBR3	protein-coding
875	CBS	ENSG00000160200	1550	613381	B7Z2D6	B7Z2D6	protein-coding
1291	COL6A1	ENSG00000142156	2211	120220	P12109	CO6A1	protein-coding
1292	COL6A2	ENSG00000142173	2212	120240	P12110	CO6A2	protein-coding
1409	CRYAA	ENSG00000160202	2388	123580			protein-coding
1476	CSTB	ENSG00000160213	2482	601145	P04080	CYTB	protein-coding
1525	CXADR	ENSG00000154639	2559	602621	P78310	CXAR	protein-coding
1637	DCR		2708				other
1826	DSCAM	ENSG00000171587	3039	602523	O60469	DSCAM	protein-coding
1827	RCAN1	ENSG00000159200	3040	602917	P53805	RCAN1	protein-coding
1859	DYRK1A	ENSG00000157540	3091	600855	Q13627	DYR1A	protein-coding
2078	ERG	ENSG00000157554	3446	165080	P11308	ERG	protein-coding
2114	ETS2	ENSG00000157557	3489	164740	P15036	ETS2	protein-coding
2216	FDX1P2		3641				pseudo
2551	GABPA	ENSG00000154727	4071	600609	Q06546	GABPA	protein-coding
2618	GART	ENSG00000159131	4163	138440	P22102	PUR2	protein-coding
2884	GPX1P2		4561				pseudo
2897	GRIK1	ENSG00000171189	4579	138245	P39086	GRIK1	protein-coding
3141	HLCS	ENSG00000159267	4976	609018	P50747	BPL1	protein-coding
3150	HMGN1	ENSG00000205581	4984	163920	P05114	HMGN1	protein-coding
3244	HPE1						unknown
3275	PRMT2	ENSG00000160310	5186	601961	P55345	ANM2	protein-coding
3349	HTOR		5285				unknown
3454	IFNAR1	ENSG00000142166	5432	107450	P17181	INAR1	protein-coding
3455	IFNAR2	ENSG00000159110	5433	602376	P48551	INAR2	protein-coding
3460	IFNGR2	ENSG00000159128	5440	147569	P38484	INGR2	protein-coding
3588	IL10RB	ENSG00000243646	5965	123889	Q08334	I10R2	protein-coding
