GeneID	Symbol	EnsemblID	HGNCID	MIM Number	UniprotAC	UniprotID	type_of_gene
12	SERPINA3	ENSG00000196136	16	107280	P01011	AACT	protein-coding
87	ACTN1	ENSG00000072110	163	102575	P12814	ACTN1	protein-coding
97	ACYP1	ENSG00000119640	179	600875	P07311	ACYP1	protein-coding
145	PARP1P2		276				pseudo
207	AKT1	ENSG00000142208	391	164730	P31749	AKT1	protein-coding
283	ANG	ENSG00000214274	483	105850	P03950	ANGI	protein-coding
328	APEX1	ENSG00000100823	587	107748	P27695	APEX1	protein-coding
382	ARF6	ENSG00000165527	659	600464	P62330	ARF6	protein-coding
384	ARG2	ENSG00000081181	664	107830	P78540	ARGI2	protein-coding
394	ARHGAP5	ENSG00000100852	675	602680	Q13017	RHG05	protein-coding
424	ARVD3						unknown
599	BCL2L2	ENSG00000129473	995	601931	Q92843	B2CL2	protein-coding
623	BDKRB1	ENSG00000100739	1029	600337	P46663	BKRB1	protein-coding
624	BDKRB2	ENSG00000168398	1030	113503	P30411	BKRB2	protein-coding
652	BMP4	ENSG00000125378	1071	112262	P12644	BMP4	protein-coding
677	ZFP36L1	ENSG00000185650	1107	601064	Q07352	TISB	protein-coding
801	CALM1	ENSG00000198668	1442	114180			protein-coding
866	SERPINA6	ENSG00000170099	1540	122500	P08185	CBG	protein-coding
957	ENTPD5	ENSG00000187097	3367	603162	O75356	ENTP5	protein-coding
1033	CDKN3	ENSG00000100526	1791	123832	Q16667	CDKN3	protein-coding
1053	CEBPE	ENSG00000092067	1836	600749	Q15744	CEBPE	protein-coding
1073	CFL2	ENSG00000165410	1875	601443	Q9Y281	COF2	protein-coding
1112	FOXN3	ENSG00000053254	1928	602628	O00409	FOXN3	protein-coding
1113	CHGA	ENSG00000100604	1929	118910	P10645	CMGA	protein-coding
1152	CKB	ENSG00000166165	1991	123280	P12277	KCRB	protein-coding
1156	CKBE						unknown
1215	CMA1	ENSG00000092009	2097	118938	P23946	CMA1	protein-coding
1241	LTB4R	ENSG00000213903	6713	601531	Q15722	LT4R1	protein-coding
1396	CRIP1	ENSG00000213145	2360	123875	P50238	CRIP1	protein-coding
1397	CRIP2	ENSG00000182809	2361	601183	P52943	CRIP2	protein-coding
1483	CTAA1						unknown
1511	CTSG	ENSG00000100448	2532	116830	P08311	CATG	protein-coding
1531	CYB5AP3		2574				pseudo
1603	DAD1	ENSG00000129562	2664	600243	P61803	DAD1	protein-coding
1690	COCH	ENSG00000100473	2180	603196	O43405	COCH	protein-coding
1697	DFNB5						unknown
1734	DIO2	ENSG00000211448	2884	601413	Q92813	IOD2	protein-coding
1735	DIO3	ENSG00000197406	2885	601038	P55073	IOD3	protein-coding
1743	DLST	ENSG00000119689	2911	126063	P36957	ODO2	protein-coding
1778	DYNC1H1	ENSG00000197102	2961	600112	Q14204	DYHC1	protein-coding
1965	EIF2S1	ENSG00000134001	3265	603907	P05198	IF2A	protein-coding
1983	EIF5	ENSG00000100664	3299	601710	P55010	IF5	protein-coding
2003	ELK2AP		3323				pseudo
2009	EML1	ENSG00000066629	3330	602033	O00423	EMAL1	protein-coding
2079	ERH	ENSG00000100632	3447	601191	P84090	ERH	protein-coding
2096	ESAT		3463				unknown
2100	ESR2	ENSG00000140009	3468	601663	Q92731	ESR2	protein-coding
2103	ESRRB	ENSG00000119715	3473	602167	O95718	ERR2	protein-coding
2227	FDPSP3	ENSG00000258872	3634				pseudo
2287	FKBP3	ENSG00000100442	3719	186947	Q00688	FKBP3	protein-coding
2290	FOXG1	ENSG00000176165	3811	164874	P55316	FOXG1	protein-coding
2342	FNTB	ENSG00000257365	3785	134636	A0A384MEJ5	A0A384MEJ5	protein-coding
2353	FOS	ENSG00000170345	3796	164810	P01100	FOS	protein-coding
2457	FRA14B		3854				other
2458	FRA14C		3855				other
2530	FUT8	ENSG00000033170	4019	602589	Q9BYC5	FUT8	protein-coding
2581	GALC	ENSG00000054983	4115	606890	P54803	GALC	protein-coding
2643	GCH1	ENSG00000131979	4193	600225	P30793	GCH1	protein-coding
2764	GMFB	ENSG00000197045	4373	601713	P60983	GMFB	protein-coding
2856	GPR33	ENSG00000214943	4489	610118	Q49SQ1	GPR33	protein-coding
2877	GPX2	ENSG00000176153	4554	138319	P18283	GPX2	protein-coding
2954	GSTZ1	ENSG00000100577	4643	603758	O43708	MAAI	protein-coding
2957	GTF2A1	ENSG00000165417	4646	600520	P52655	TF2AA	protein-coding
2972	BRF1	ENSG00000185024	11551	604902	Q92994	TF3B	protein-coding
2999	GZMH	ENSG00000100450	4710	116831	P20718	GRAH	protein-coding
3002	GZMB	ENSG00000100453	4709	123910	P10144	GRAB	protein-coding
3091	HIF1A	ENSG00000100644	4910	603348	Q16665	HIF1A	protein-coding
3169	FOXA1	ENSG00000129514	5021	602294	P55317	FOXA1	protein-coding
3183	HNRNPC	ENSG00000092199	5035	164020	P07910	HNRPC	protein-coding
3259	HPV6AI1			604461			other
3306	HSPA2	ENSG00000126803	5235	140560	P54652	HSP72	protein-coding
3320	HSP90AA1	ENSG00000080824	5253	140571	P07900	HS90A	protein-coding
3410	IDDM11						unknown
3429	IFI27	ENSG00000165949	5397	600009	P40305	IFI27	protein-coding
3492	IGH		5477	146910			protein-coding
3493	IGHA1	ENSG00000211895	5478	146900			other
3494	IGHA2	ENSG00000211890	5479	147000			other
3495	IGHD	ENSG00000211898	5480	147170			other
3497	IGHE	ENSG00000211891	5522	147180			other
3498	IGHEP1	ENSG00000253692	5523				pseudo
3500	IGHG1	ENSG00000211896	5525	147100			other
3501	IGHG2	ENSG00000211893	5526	147110			other
3502	IGHG3	ENSG00000211897	5527	147120			other
3503	IGHG4	ENSG00000211892	5528	147130			other
3505	IGHGP		5529				pseudo
3507	IGHM	ENSG00000211899	5541	147020			other
3705	ITPK1	ENSG00000100605	6177	601838	Q13572	ITPK1	protein-coding
3714	JAG2	ENSG00000184916	6189	602570	Q9Y219	JAG2	protein-coding
3831	KLC1	ENSG00000126214	6387	600025	Q07866	KLC1	protein-coding
3895	KTN1	ENSG00000126777	6467	600381	Q86UP2	KTN1	protein-coding
3923	RPSAP13	ENSG00000233924	6505				pseudo
3958	LGALS3	ENSG00000131981	6563	153619	P17931	LEG3	protein-coding
4053	LTBP2	ENSG00000119681	6715	602091	Q14767	LTBP2	protein-coding
4140	MARK3	ENSG00000075413	6897	602678	P27448	MARK3	protein-coding
4149	MAX	ENSG00000125952	6913	154950	P61244	MAX	protein-coding
4247	MGAT2	ENSG00000168282	7045	602616	Q10469	MGAT2	protein-coding
4253	MIA2	ENSG00000150527	18432	602132	Q96PC5	MIA2	protein-coding
4287	ATXN3	ENSG00000066427	7106	607047	P54252	ATX3	protein-coding
4293	MAP3K9	ENSG00000006432	6861	600136	P80192	M3K9	protein-coding
4323	MMP14	ENSG00000157227	7160	600754	P50281	MMP14	protein-coding
4329	ALDH6A1	ENSG00000119711	7179	603178	Q02252	MMSA	protein-coding
4331	MNAT1	ENSG00000020426	7181	602659	P51948	MAT1	protein-coding
4522	MTHFD1	ENSG00000100714	7432	172460	P11586	C1TC	protein-coding
4624	MYH6	ENSG00000197616	7576	160710	P13533	MYH6	protein-coding
4625	MYH7	ENSG00000092054	7577	160760	P12883	MYH7	protein-coding
4707	NDUFB1	ENSG00000183648	7695	603837	O75438	NDUB1	protein-coding
4738	NEDD8	ENSG00000129559	7732	603171	Q15843	NEDD8	protein-coding
4776	NFATC4	ENSG00000100968	7778	602699	Q14934	NFAC4	protein-coding
4792	NFKBIA	ENSG00000100906	7797	164008	P25963	IKBA	protein-coding
4857	NOVA1	ENSG00000139910	7886	602157	P51513	NOVA1	protein-coding
4860	PNP	ENSG00000198805	7892	164050	P00491	PNPH	protein-coding
4901	NRL	ENSG00000129535	8002	162080	P54845	NRL	protein-coding
4990	SIX6	ENSG00000184302	10892	606326	O95475	SIX6	protein-coding
5015	OTX2	ENSG00000165588	8522	600037	P32243	OTX2	protein-coding
5018	OXA1L	ENSG00000155463	8526	601066	Q15070	OXA1L	protein-coding
5083	PAX9	ENSG00000198807	8623	167416	P55771	PAX9	protein-coding
5104	SERPINA5	ENSG00000188488	8723	601841	P05154	IPSP	protein-coding
5106	PCK2	ENSG00000100889	8725	614095	Q16822	PCKGM	protein-coding
5228	PGF	ENSG00000119630	8893	601121	P49763	PLGF	protein-coding
5259	PHKBP2		8929				pseudo
5265	SERPINA1	ENSG00000197249	8941	107400	P01009	A1AT	protein-coding
5267	SERPINA4	ENSG00000100665	8948	147935	P29622	KAIN	protein-coding
5283	PIGH	ENSG00000100564	8964	600154	Q14442	PIGH	protein-coding
5411	PNN	ENSG00000100941	9162	603154	Q9H307	PININ	protein-coding
5427	POLE2	ENSG00000100479	9178	602670	P56282	DPOE2	protein-coding
5494	PPM1A	ENSG00000100614	9275	606108	P35813	PPM1A	protein-coding
5527	PPP2R5C	ENSG00000078304	9311	601645	Q13362	2A5G	protein-coding
